GS1 Application Identifiers
https://www.gs1.org/standards/barcodes/application-identifiers?lang=es



AI       Descripción                                                                                                                                      Formato                    Titulo                                 FNC1          Expresión regular                                                         
00       Código Seriado de Contenedor de Embarque (SSCC)                                                                                                  N2+N18       		     SSCC                                   No            ^00(\d{18})$                                                                                            
3403	 Peso logístico, libras                                                                                                                           N4+N6        		     GROSS WEIGHT (lb)                      No            ^3403(\d{6})$                                                                                           
3404	 Peso logístico, libras                                                                                                                           N4+N6        		     GROSS WEIGHT (lb)                      No            ^3404(\d{6})$                                                                                           
3405	 Peso logístico, libras                                                                                                                           N4+N6        		     GROSS WEIGHT (lb)                      No            ^3405(\d{6})$                                                                                           
3410	 Longitud o primera dimensión, pulgadas                                                                                                           N4+N6        		     LENGTH (in), log                       No            ^3410(\d{6})$                                                                                           
3411	 Longitud o primera dimensión, pulgadas                                                                                                           N4+N6        		     LENGTH (in), log                       No            ^3411(\d{6})$                                                                                           
3412	 Longitud o primera dimensión, pulgadas                                                                                                           N4+N6        		     LENGTH (in), log                       No            ^3412(\d{6})$                                                                                           
3413	 Longitud o primera dimensión, pulgadas                                                                                                           N4+N6        		     LENGTH (in), log                       No            ^3413(\d{6})$                                                                                           
3414	 Longitud o primera dimensión, pulgadas                                                                                                           N4+N6        		     LENGTH (in), log                       No            ^3414(\d{6})$                                                                                           
3415	 Longitud o primera dimensión, pulgadas                                                                                                           N4+N6        		     LENGTH (in), log                       No            ^3415(\d{6})$                                                                                           
3420	 Longitud o primera dimensión, pies                                                                                                               N4+N6        		     LENGTH (ft), log                       No            ^3420(\d{6})$                                                                                           
3421	 Longitud o primera dimensión, pies                                                                                                               N4+N6        		     LENGTH (ft), log                       No            ^3421(\d{6})$                                                                                           
3422	 Longitud o primera dimensión, pies                                                                                                               N4+N6        		     LENGTH (ft), log                       No            ^3422(\d{6})$                                                                                           
3423	 Longitud o primera dimensión, pies                                                                                                               N4+N6        		     LENGTH (ft), log                       No            ^3423(\d{6})$                                                                                           
3424	 Longitud o primera dimensión, pies                                                                                                               N4+N6        		     LENGTH (ft), log                       No            ^3424(\d{6})$                                                                                           
3425	 Longitud o primera dimensión, pies                                                                                                               N4+N6        		     LENGTH (ft), log                       No            ^3425(\d{6})$                                                                                           
3430	 Longitud o primera dimensión, yardas                                                                                                             N4+N6        		     LENGTH (yd), log                       No            ^3430(\d{6})$                                                                                           
3431	 Longitud o primera dimensión, yardas                                                                                                             N4+N6        		     LENGTH (yd), log                       No            ^3431(\d{6})$                                                                                           
3432	 Longitud o primera dimensión, yardas                                                                                                             N4+N6        		     LENGTH (yd), log                       No            ^3432(\d{6})$                                                                                           
3433	 Longitud o primera dimensión, yardas                                                                                                             N4+N6        		     LENGTH (yd), log                       No            ^3433(\d{6})$                                                                                           
3434	 Longitud o primera dimensión, yardas                                                                                                             N4+N6        		     LENGTH (yd), log                       No            ^3434(\d{6})$                                                                                           
3435	 Longitud o primera dimensión, yardas                                                                                                             N4+N6        		     LENGTH (yd), log                       No            ^3435(\d{6})$                                                                                           
3440	 Ancho, diámetro, o segunda dimensión, pulgadas                                                                                                   N4+N6        		     WIDTH (in), log                        No            ^3440(\d{6})$                                                                                           
3441	 Ancho, diámetro, o segunda dimensión, pulgadas                                                                                                   N4+N6        		     WIDTH (in), log                        No            ^3441(\d{6})$                                                                                           
3442	 Ancho, diámetro, o segunda dimensión, pulgadas                                                                                                   N4+N6        		     WIDTH (in), log                        No            ^3442(\d{6})$                                                                                           
3443	 Ancho, diámetro, o segunda dimensión, pulgadas                                                                                                   N4+N6        		     WIDTH (in), log                        No            ^3443(\d{6})$                                                                                           
3444	 Ancho, diámetro, o segunda dimensión, pulgadas                                                                                                   N4+N6        		     WIDTH (in), log                        No            ^3444(\d{6})$                                                                                           
3445	 Ancho, diámetro, o segunda dimensión, pulgadas                                                                                                   N4+N6        		     WIDTH (in), log                        No            ^3445(\d{6})$                                                                                           
3450	 Ancho, diámetro, o segunda dimensión, pies                                                                                                       N4+N6        		     WIDTH (ft), log                        No            ^3450(\d{6})$                                                                                           
3451	 Ancho, diámetro, o segunda dimensión, pies                                                                                                       N4+N6        		     WIDTH (ft), log                        No            ^3451(\d{6})$                                                                                           
3452	 Ancho, diámetro, o segunda dimensión, pies                                                                                                       N4+N6        		     WIDTH (ft), log                        No            ^3452(\d{6})$                                                                                           
3453	 Ancho, diámetro, o segunda dimensión, pies                                                                                                       N4+N6        		     WIDTH (ft), log                        No            ^3453(\d{6})$                                                                                           
3454	 Ancho, diámetro, o segunda dimensión, pies                                                                                                       N4+N6        		     WIDTH (ft), log                        No            ^3454(\d{6})$                                                                                           
3455	 Ancho, diámetro, o segunda dimensión, pies                                                                                                       N4+N6        		     WIDTH (ft), log                        No            ^3455(\d{6})$                                                                                           
3460	 Ancho, diámetro, o segunda dimensión, yardas                                                                                                     N4+N6        		     WIDTH (yd), log                        No            ^3460(\d{6})$                                                                                           
3461	 Ancho, diámetro, o segunda dimensión, yardas                                                                                                     N4+N6        		     WIDTH (yd), log                        No            ^3461(\d{6})$                                                                                           
3462	 Ancho, diámetro, o segunda dimensión, yardas                                                                                                     N4+N6        		     WIDTH (yd), log                        No            ^3462(\d{6})$                                                                                           
3463	 Ancho, diámetro, o segunda dimensión, yardas                                                                                                     N4+N6        		     WIDTH (yd), log                        No            ^3463(\d{6})$                                                                                           
3464	 Ancho, diámetro, o segunda dimensión, yardas                                                                                                     N4+N6        		     WIDTH (yd), log                        No            ^3464(\d{6})$                                                                                           
3465	 Ancho, diámetro, o segunda dimensión, yardas                                                                                                     N4+N6        		     WIDTH (yd), log                        No            ^3465(\d{6})$                                                                                           
3470	 Profundidad, grosor, altura, o tercera dimensión, pulgadas                                                                                       N4+N6        		     HEIGHT (in), log                       No            ^3470(\d{6})$                                                                                           
3471	 Profundidad, grosor, altura, o tercera dimensión, pulgadas                                                                                       N4+N6        		     HEIGHT (in), log                       No            ^3471(\d{6})$                                                                                           
3472	 Profundidad, grosor, altura, o tercera dimensión, pulgadas                                                                                       N4+N6        		     HEIGHT (in), log                       No            ^3472(\d{6})$                                                                                           
3473	 Profundidad, grosor, altura, o tercera dimensión, pulgadas                                                                                       N4+N6        		     HEIGHT (in), log                       No            ^3473(\d{6})$                                                                                           
3474	 Profundidad, grosor, altura, o tercera dimensión, pulgadas                                                                                       N4+N6        		     HEIGHT (in), log                       No            ^3474(\d{6})$                                                                                           
3475	 Profundidad, grosor, altura, o tercera dimensión, pulgadas                                                                                       N4+N6        		     HEIGHT (in), log                       No            ^3475(\d{6})$                                                                                           
3480	 Profundidad, grosor, altura o tercera dimensión, pies                                                                                            N4+N6        		     HEIGHT (ft), log                       No            ^3480(\d{6})$                                                                                           
3481	 Profundidad, grosor, altura o tercera dimensión, pies                                                                                            N4+N6        		     HEIGHT (ft), log                       No            ^3481(\d{6})$                                                                                           
3482	 Profundidad, grosor, altura o tercera dimensión, pies                                                                                            N4+N6        		     HEIGHT (ft), log                       No            ^3482(\d{6})$                                                                                           
3483	 Profundidad, grosor, altura o tercera dimensión, pies                                                                                            N4+N6        		     HEIGHT (ft), log                       No            ^3483(\d{6})$                                                                                           
3484	 Profundidad, grosor, altura o tercera dimensión, pies                                                                                            N4+N6        		     HEIGHT (ft), log                       No            ^3484(\d{6})$                                                                                           
3485	 Profundidad, grosor, altura o tercera dimensión, pies                                                                                            N4+N6        		     HEIGHT (ft), log                       No            ^3485(\d{6})$                                                                                           
3490	 Profundidad, grosor, altura, o tercera dimensión, yardas                                                                                         N4+N6        		     HEIGHT (yd), log                       No            ^3490(\d{6})$                                                                                           
3491	 Profundidad, grosor, altura, o tercera dimensión, yardas                                                                                         N4+N6        		     HEIGHT (yd), log                       No            ^3491(\d{6})$                                                                                           
3492	 Profundidad, grosor, altura, o tercera dimensión, yardas                                                                                         N4+N6        		     HEIGHT (yd), log                       No            ^3492(\d{6})$                                                                                           
3493	 Profundidad, grosor, altura, o tercera dimensión, yardas                                                                                         N4+N6        		     HEIGHT (yd), log                       No            ^3493(\d{6})$                                                                                           
3494	 Profundidad, grosor, altura, o tercera dimensión, yardas                                                                                         N4+N6        		     HEIGHT (yd), log                       No            ^3494(\d{6})$                                                                                           
3495	 Profundidad, grosor, altura, o tercera dimensión, yardas                                                                                         N4+N6        		     HEIGHT (yd), log                       No            ^3495(\d{6})$                                                                                           
3500	 Área, pulgadas cuadradas (artículo comercial de medidas variables)                                                                               N4+N6        		     AREA (in2)                             No            ^3500(\d{6})$                                                                                           
3501	 Área, pulgadas cuadradas (artículo comercial de medidas variables)                                                                               N4+N6        		     AREA (in2)                             No            ^3501(\d{6})$                                                                                           
3502	 Área, pulgadas cuadradas (artículo comercial de medidas variables)                                                                               N4+N6        		     AREA (in2)                             No            ^3502(\d{6})$                                                                                           
3503	 Área, pulgadas cuadradas (artículo comercial de medidas variables)                                                                               N4+N6        		     AREA (in2)                             No            ^3503(\d{6})$                                                                                           
3504	 Área, pulgadas cuadradas (artículo comercial de medidas variables)                                                                               N4+N6        		     AREA (in2)                             No            ^3504(\d{6})$                                                                                           
3505	 Área, pulgadas cuadradas (artículo comercial de medidas variables)                                                                               N4+N6        		     AREA (in2)                             No            ^3505(\d{6})$                                                                                           
3510	 Área, pies cuadrados (artículo comercial de medidas variables)                                                                                   N4+N6        		     AREA (ft2)                             No            ^3510(\d{6})$                                                                                           
3511	 Área, pies cuadrados (artículo comercial de medidas variables)                                                                                   N4+N6        		     AREA (ft2)                             No            ^3511(\d{6})$                                                                                           
3512	 Área, pies cuadrados (artículo comercial de medidas variables)                                                                                   N4+N6        		     AREA (ft2)                             No            ^3512(\d{6})$                                                                                           
3513	 Área, pies cuadrados (artículo comercial de medidas variables)                                                                                   N4+N6        		     AREA (ft2)                             No            ^3513(\d{6})$                                                                                           
3514	 Área, pies cuadrados (artículo comercial de medidas variables)                                                                                   N4+N6        		     AREA (ft2)                             No            ^3514(\d{6})$                                                                                           
3515	 Área, pies cuadrados (artículo comercial de medidas variables)                                                                                   N4+N6        		     AREA (ft2)                             No            ^3515(\d{6})$                                                                                           
3520	 Área, yardas cuadradas (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (yd2)                             No            ^3520(\d{6})$                                                                                           
3521	 Área, yardas cuadradas (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (yd2)                             No            ^3521(\d{6})$                                                                                           
3522	 Área, yardas cuadradas (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (yd2)                             No            ^3522(\d{6})$                                                                                           
3523	 Área, yardas cuadradas (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (yd2)                             No            ^3523(\d{6})$                                                                                           
3524	 Área, yardas cuadradas (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (yd2)                             No            ^3524(\d{6})$                                                                                           
3525	 Área, yardas cuadradas (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (yd2)                             No            ^3525(\d{6})$                                                                                           
3530	 Área, pulgadas cuadradas                                                                                                                         N4+N6        		     AREA (in2), log                        No            ^3530(\d{6})$                                                                                           
3531	 Área, pulgadas cuadradas                                                                                                                         N4+N6        		     AREA (in2), log                        No            ^3531(\d{6})$                                                                                           
3532	 Área, pulgadas cuadradas                                                                                                                         N4+N6        		     AREA (in2), log                        No            ^3532(\d{6})$                                                                                           
3533	 Área, pulgadas cuadradas                                                                                                                         N4+N6        		     AREA (in2), log                        No            ^3533(\d{6})$                                                                                           
3534	 Área, pulgadas cuadradas                                                                                                                         N4+N6        		     AREA (in2), log                        No            ^3534(\d{6})$                                                                                           
3535	 Área, pulgadas cuadradas                                                                                                                         N4+N6        		     AREA (in2), log                        No            ^3535(\d{6})$                                                                                           
3540	 Área, pies cuadrados                                                                                                                             N4+N6        		     AREA (ft2), log                        No            ^3540(\d{6})$                                                                                           
3541	 Área, pies cuadrados                                                                                                                             N4+N6        		     AREA (ft2), log                        No            ^3541(\d{6})$                                                                                           
3542	 Área, pies cuadrados                                                                                                                             N4+N6        		     AREA (ft2), log                        No            ^3542(\d{6})$                                                                                           
3543	 Área, pies cuadrados                                                                                                                             N4+N6        		     AREA (ft2), log                        No            ^3543(\d{6})$                                                                                           
3544	 Área, pies cuadrados                                                                                                                             N4+N6        		     AREA (ft2), log                        No            ^3544(\d{6})$                                                                                           
3545	 Área, pies cuadrados                                                                                                                             N4+N6        		     AREA (ft2), log                        No            ^3545(\d{6})$                                                                                           
3550	 Área, yardas cuadradas                                                                                                                           N4+N6        		     AREA (yd2), log                        No            ^3550(\d{6})$                                                                                           
3551	 Área, yardas cuadradas                                                                                                                           N4+N6        		     AREA (yd2), log                        No            ^3551(\d{6})$                                                                                           
3552	 Área, yardas cuadradas                                                                                                                           N4+N6        		     AREA (yd2), log                        No            ^3552(\d{6})$                                                                                           
3553	 Área, yardas cuadradas                                                                                                                           N4+N6        		     AREA (yd2), log                        No            ^3553(\d{6})$                                                                                           
3554	 Área, yardas cuadradas                                                                                                                           N4+N6        		     AREA (yd2), log                        No            ^3554(\d{6})$                                                                                           
3555	 Área, yardas cuadradas                                                                                                                           N4+N6        		     AREA (yd2), log                        No            ^3555(\d{6})$                                                                                           
3560	 Peso neto, onzas troy (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET WEIGHT (t oz)                      No            ^3560(\d{6})$                                                                                           
3561	 Peso neto, onzas troy (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET WEIGHT (t oz)                      No            ^3561(\d{6})$                                                                                           
3562	 Peso neto, onzas troy (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET WEIGHT (t oz)                      No            ^3562(\d{6})$                                                                                           
3563	 Peso neto, onzas troy (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET WEIGHT (t oz)                      No            ^3563(\d{6})$                                                                                           
3564	 Peso neto, onzas troy (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET WEIGHT (t oz)                      No            ^3564(\d{6})$                                                                                           
3565	 Peso neto, onzas troy (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET WEIGHT (t oz)                      No            ^3565(\d{6})$                                                                                           
3570	 Peso neto (o volumen), onzas (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (oz)                        No            ^3570(\d{6})$                                                                                           
3571	 Peso neto (o volumen), onzas (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (oz)                        No            ^3571(\d{6})$                                                                                           
3572	 Peso neto (o volumen), onzas (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (oz)                        No            ^3572(\d{6})$                                                                                           
3573	 Peso neto (o volumen), onzas (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (oz)                        No            ^3573(\d{6})$                                                                                           
3574	 Peso neto (o volumen), onzas (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (oz)                        No            ^3574(\d{6})$                                                                                           
3575	 Peso neto (o volumen), onzas (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (oz)                        No            ^3575(\d{6})$                                                                                           
3600	 Volumen neto, cuartos (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET VOLUME (qt)                        No            ^3600(\d{6})$                                                                                           
3601	 Volumen neto, cuartos (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET VOLUME (qt)                        No            ^3601(\d{6})$                                                                                           
3602	 Volumen neto, cuartos (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET VOLUME (qt)                        No            ^3602(\d{6})$                                                                                           
3603	 Volumen neto, cuartos (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET VOLUME (qt)                        No            ^3603(\d{6})$                                                                                           
3604	 Volumen neto, cuartos (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET VOLUME (qt)                        No            ^3604(\d{6})$                                                                                           
3605	 Volumen neto, cuartos (artículo comercial de medidas variables)                                                                                  N4+N6        		     NET VOLUME (qt)                        No            ^3605(\d{6})$                                                                                           
3610	 Volumen neto, galones estadounidenses (artículo comercial de medidas variables)                                                                  N4+N6        		     NET VOLUME (gal.)                      No            ^3610(\d{6})$                                                                                           
3611	 Volumen neto, galones estadounidenses (artículo comercial de medidas variables)                                                                  N4+N6        		     NET VOLUME (gal.)                      No            ^3611(\d{6})$                                                                                           
3612	 Volumen neto, galones estadounidenses (artículo comercial de medidas variables)                                                                  N4+N6        		     NET VOLUME (gal.)                      No            ^3612(\d{6})$                                                                                           
3613	 Volumen neto, galones estadounidenses (artículo comercial de medidas variables)                                                                  N4+N6        		     NET VOLUME (gal.)                      No            ^3613(\d{6})$                                                                                           
3614	 Volumen neto, galones estadounidenses (artículo comercial de medidas variables)                                                                  N4+N6        		     NET VOLUME (gal.)                      No            ^3614(\d{6})$                                                                                           
3615	 Volumen neto, galones estadounidenses (artículo comercial de medidas variables)                                                                  N4+N6        		     NET VOLUME (gal.)                      No            ^3615(\d{6})$                                                                                           
3620	 Volumen logístico, cuartos                                                                                                                       N4+N6        		     VOLUME (qt), log                       No            ^3620(\d{6})$                                                                                           
3621	 Volumen logístico, cuartos                                                                                                                       N4+N6        		     VOLUME (qt), log                       No            ^3621(\d{6})$                                                                                           
3622	 Volumen logístico, cuartos                                                                                                                       N4+N6        		     VOLUME (qt), log                       No            ^3622(\d{6})$                                                                                           
3623	 Volumen logístico, cuartos                                                                                                                       N4+N6        		     VOLUME (qt), log                       No            ^3623(\d{6})$                                                                                           
3624	 Volumen logístico, cuartos                                                                                                                       N4+N6        		     VOLUME (qt), log                       No            ^3624(\d{6})$                                                                                           
3625	 Volumen logístico, cuartos                                                                                                                       N4+N6        		     VOLUME (qt), log                       No            ^3625(\d{6})$                                                                                           
3630	 Volumen logístico, galones estadounidenses                                                                                                       N4+N6        		     VOLUME (gal.), log                     No            ^3630(\d{6})$                                                                                           
3631	 Volumen logístico, galones estadounidenses                                                                                                       N4+N6        		     VOLUME (gal.), log                     No            ^3631(\d{6})$                                                                                           
3632	 Volumen logístico, galones estadounidenses                                                                                                       N4+N6        		     VOLUME (gal.), log                     No            ^3632(\d{6})$                                                                                           
3633	 Volumen logístico, galones estadounidenses                                                                                                       N4+N6        		     VOLUME (gal.), log                     No            ^3633(\d{6})$                                                                                           
3634	 Volumen logístico, galones estadounidenses                                                                                                       N4+N6        		     VOLUME (gal.), log                     No            ^3634(\d{6})$                                                                                           
3635	 Volumen logístico, galones estadounidenses                                                                                                       N4+N6        		     VOLUME (gal.), log                     No            ^3635(\d{6})$                                                                                           
3640	 Vlumen neto, pulgadas cúbicas (artículo comercial de medidas variables)                                                                          N4+N6        		     VOLUME (in3)                           No            ^3640(\d{6})$                                                                                           
3641	 Vlumen neto, pulgadas cúbicas (artículo comercial de medidas variables)                                                                          N4+N6        		     VOLUME (in3)                           No            ^3641(\d{6})$                                                                                           
3642	 Vlumen neto, pulgadas cúbicas (artículo comercial de medidas variables)                                                                          N4+N6        		     VOLUME (in3)                           No            ^3642(\d{6})$                                                                                           
3643	 Vlumen neto, pulgadas cúbicas (artículo comercial de medidas variables)                                                                          N4+N6        		     VOLUME (in3)                           No            ^3643(\d{6})$                                                                                           
3644	 Vlumen neto, pulgadas cúbicas (artículo comercial de medidas variables)                                                                          N4+N6        		     VOLUME (in3)                           No            ^3644(\d{6})$                                                                                           
3645	 Vlumen neto, pulgadas cúbicas (artículo comercial de medidas variables)                                                                          N4+N6        		     VOLUME (in3)                           No            ^3645(\d{6})$                                                                                           
3650	 Volumen neto, pies cúbicos (artículo comercial de medidas variables)                                                                             N4+N6        		     VOLUME (ft3)                           No            ^3650(\d{6})$                                                                                           
3651	 Volumen neto, pies cúbicos (artículo comercial de medidas variables)                                                                             N4+N6        		     VOLUME (ft3)                           No            ^3651(\d{6})$                                                                                           
3652	 Volumen neto, pies cúbicos (artículo comercial de medidas variables)                                                                             N4+N6        		     VOLUME (ft3)                           No            ^3652(\d{6})$                                                                                           
3653	 Volumen neto, pies cúbicos (artículo comercial de medidas variables)                                                                             N4+N6        		     VOLUME (ft3)                           No            ^3653(\d{6})$                                                                                           
3654	 Volumen neto, pies cúbicos (artículo comercial de medidas variables)                                                                             N4+N6        		     VOLUME (ft3)                           No            ^3654(\d{6})$                                                                                           
3655	 Volumen neto, pies cúbicos (artículo comercial de medidas variables)                                                                             N4+N6        		     VOLUME (ft3)                           No            ^3655(\d{6})$                                                                                           
3660	 Volumen neto, yardas cúbicas (artículo comercial de medidas variables)                                                                           N4+N6        		     VOLUME (yd3)                           No            ^3660(\d{6})$                                                                                           
3661	 Volumen neto, yardas cúbicas (artículo comercial de medidas variables)                                                                           N4+N6        		     VOLUME (yd3)                           No            ^3661(\d{6})$                                                                                           
3662	 Volumen neto, yardas cúbicas (artículo comercial de medidas variables)                                                                           N4+N6        		     VOLUME (yd3)                           No            ^3662(\d{6})$                                                                                           
3663	 Volumen neto, yardas cúbicas (artículo comercial de medidas variables)                                                                           N4+N6        		     VOLUME (yd3)                           No            ^3663(\d{6})$                                                                                           
3664	 Volumen neto, yardas cúbicas (artículo comercial de medidas variables)                                                                           N4+N6        		     VOLUME (yd3)                           No            ^3664(\d{6})$                                                                                           
3665	 Volumen neto, yardas cúbicas (artículo comercial de medidas variables)                                                                           N4+N6        		     VOLUME (yd3)                           No            ^3665(\d{6})$                                                                                           
3670	 Volumen Logistic, pulgadas cúbicas                                                                                                               N4+N6        		     VOLUME (in3), log                      No            ^3670(\d{6})$                                                                                           
3671	 Volumen Logistic, pulgadas cúbicas                                                                                                               N4+N6        		     VOLUME (in3), log                      No            ^3671(\d{6})$                                                                                           
3672	 Volumen Logistic, pulgadas cúbicas                                                                                                               N4+N6        		     VOLUME (in3), log                      No            ^3672(\d{6})$                                                                                           
3673	 Volumen Logistic, pulgadas cúbicas                                                                                                               N4+N6        		     VOLUME (in3), log                      No            ^3673(\d{6})$                                                                                           
3674	 Volumen Logistic, pulgadas cúbicas                                                                                                               N4+N6        		     VOLUME (in3), log                      No            ^3674(\d{6})$                                                                                           
3675	 Volumen Logistic, pulgadas cúbicas                                                                                                               N4+N6        		     VOLUME (in3), log                      No            ^3675(\d{6})$                                                                                           
3680	 Volumen logístico, de pies cúbicos                                                                                                               N4+N6        		     VOLUME (ft3), log                      No            ^3680(\d{6})$                                                                                           
3681	 Volumen logístico, de pies cúbicos                                                                                                               N4+N6        		     VOLUME (ft3), log                      No            ^3681(\d{6})$                                                                                           
3682	 Volumen logístico, de pies cúbicos                                                                                                               N4+N6        		     VOLUME (ft3), log                      No            ^3682(\d{6})$                                                                                           
3683	 Volumen logístico, de pies cúbicos                                                                                                               N4+N6        		     VOLUME (ft3), log                      No            ^3683(\d{6})$                                                                                           
3684	 Volumen logístico, de pies cúbicos                                                                                                               N4+N6        		     VOLUME (ft3), log                      No            ^3684(\d{6})$                                                                                           
3685	 Volumen logístico, de pies cúbicos                                                                                                               N4+N6        		     VOLUME (ft3), log                      No            ^3685(\d{6})$                                                                                           
3690	 Volumen logístico, yardas cúbicas                                                                                                                N4+N6        		     VOLUME (yd3), log                      No            ^3690(\d{6})$                                                                                           
3691	 Volumen logístico, yardas cúbicas                                                                                                                N4+N6        		     VOLUME (yd3), log                      No            ^3691(\d{6})$                                                                                           
3692	 Volumen logístico, yardas cúbicas                                                                                                                N4+N6        		     VOLUME (yd3), log                      No            ^3692(\d{6})$                                                                                           
3693	 Volumen logístico, yardas cúbicas                                                                                                                N4+N6        		     VOLUME (yd3), log                      No            ^3693(\d{6})$                                                                                           
3694	 Volumen logístico, yardas cúbicas                                                                                                                N4+N6        		     VOLUME (yd3), log                      No            ^3694(\d{6})$                                                                                           
3695	 Volumen logístico, yardas cúbicas                                                                                                                N4+N6        		     VOLUME (yd3), log                      No            ^3695(\d{6})$                                                                                           
37	 Conteo de artículos comerciales o piezas de artículos comerciales contenidos en una unidad logística                                             N2+N..8      		     COUNT                                  Si            ^37(\d{0,8})$                                                                                           
3900	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3900(\d{0,15})$                                                                                        
3901	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3901(\d{0,15})$                                                                                        
3902	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3902(\d{0,15})$                                                                                        
3903	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3903(\d{0,15})$                                                                                        
3904	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3904(\d{0,15})$                                                                                        
3905	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3905(\d{0,15})$                                                                                        
3906	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3906(\d{0,15})$                                                                                        
3907	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3907(\d{0,15})$                                                                                        
3908	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3908(\d{0,15})$                                                                                        
3909	 Cantidad aplicable a pagar o valor de cupón/descuento, moneda local                                                                              N4+N..15     		     AMOUNT                                 Si            ^3909(\d{0,15})$                                                                                        
3910	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3910(\d{3})(\d{0,15})$                                                                                 
3911	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3911(\d{3})(\d{0,15})$                                                                                 
3912	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3912(\d{3})(\d{0,15})$                                                                                 
3913	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3913(\d{3})(\d{0,15})$                                                                                 
3914	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3914(\d{3})(\d{0,15})$                                                                                 
3915	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3915(\d{3})(\d{0,15})$                                                                                 
3916	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3916(\d{3})(\d{0,15})$                                                                                 
3917	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3917(\d{3})(\d{0,15})$                                                                                 
3918	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3918(\d{3})(\d{0,15})$                                                                                 
3919	 Cantidad aplicable a pagar con código de moneda ISO                                                                                              N4+N3+N..15  		     AMOUNT                                 Si            ^3919(\d{3})(\d{0,15})$                                                                                 
3920	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3920(\d{0,15})$                                                                                        
3921	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3921(\d{0,15})$                                                                                        
3922	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3922(\d{0,15})$                                                                                        
3923	 Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)                                                          N4+N..15     		     PRICE                                  Si            ^3923(\d{0,15})$                                                                                        
