GS1 Application Identifiers
https://www.gs1.org/standards/barcodes/application-identifiers?lang=es



AI       Descripción                                                                                                                                      Formato                    Titulo                                 FNC1          Expresión regular                                                         
00       Código Seriado de Contenedor de Embarque (SSCC)                                                                                                  N2+N18       		     SSCC                                   No            ^00(\d{18})$                                                                                            
3122	 Ancho, diámetro, o segunda dimensión, metros (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (m)                              No            ^3122(\d{6})$                                                                                           
3123	 Ancho, diámetro, o segunda dimensión, metros (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (m)                              No            ^3123(\d{6})$                                                                                           
3124	 Ancho, diámetro, o segunda dimensión, metros (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (m)                              No            ^3124(\d{6})$                                                                                           
3125	 Ancho, diámetro, o segunda dimensión, metros (artículo comercial de medidas variables)                                                           N4+N6        		     WIDTH (m)                              No            ^3125(\d{6})$                                                                                           
3130	 Profundidad, grosor, altura, o tercera dimensión, metros (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (m)                             No            ^3130(\d{6})$                                                                                           
3131	 Profundidad, grosor, altura, o tercera dimensión, metros (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (m)                             No            ^3131(\d{6})$                                                                                           
3132	 Profundidad, grosor, altura, o tercera dimensión, metros (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (m)                             No            ^3132(\d{6})$                                                                                           
3133	 Profundidad, grosor, altura, o tercera dimensión, metros (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (m)                             No            ^3133(\d{6})$                                                                                           
3134	 Profundidad, grosor, altura, o tercera dimensión, metros (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (m)                             No            ^3134(\d{6})$                                                                                           
3135	 Profundidad, grosor, altura, o tercera dimensión, metros (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (m)                             No            ^3135(\d{6})$                                                                                           
3140	 Área, metros cuadrados (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (m2)                              No            ^3140(\d{6})$                                                                                           
3141	 Área, metros cuadrados (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (m2)                              No            ^3141(\d{6})$                                                                                           
3142	 Área, metros cuadrados (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (m2)                              No            ^3142(\d{6})$                                                                                           
3143	 Área, metros cuadrados (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (m2)                              No            ^3143(\d{6})$                                                                                           
3144	 Área, metros cuadrados (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (m2)                              No            ^3144(\d{6})$                                                                                           
3145	 Área, metros cuadrados (artículo comercial de medidas variables)                                                                                 N4+N6        		     AREA (m2)                              No            ^3145(\d{6})$                                                                                           
3150	 Volumen neto, litros (artículo comercial de medidas variables)                                                                                   N4+N6        		     NET VOLUME (l)                         No            ^3150(\d{6})$                                                                                           
3151	 Volumen neto, litros (artículo comercial de medidas variables)                                                                                   N4+N6        		     NET VOLUME (l)                         No            ^3151(\d{6})$                                                                                           
3152	 Volumen neto, litros (artículo comercial de medidas variables)                                                                                   N4+N6        		     NET VOLUME (l)                         No            ^3152(\d{6})$                                                                                           
3153	 Volumen neto, litros (artículo comercial de medidas variables)                                                                                   N4+N6        		     NET VOLUME (l)                         No            ^3153(\d{6})$                                                                                           
3154	 Volumen neto, litros (artículo comercial de medidas variables)                                                                                   N4+N6        		     NET VOLUME (l)                         No            ^3154(\d{6})$                                                                                           
3155	 Volumen neto, litros (artículo comercial de medidas variables)                                                                                   N4+N6        		     NET VOLUME (l)                         No            ^3155(\d{6})$                                                                                           
3160	 Volumen neto, metros cúbicos (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (m3)                        No            ^3160(\d{6})$                                                                                           
3161	 Volumen neto, metros cúbicos (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (m3)                        No            ^3161(\d{6})$                                                                                           
3162	 Volumen neto, metros cúbicos (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (m3)                        No            ^3162(\d{6})$                                                                                           
3163	 Volumen neto, metros cúbicos (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (m3)                        No            ^3163(\d{6})$                                                                                           
3164	 Volumen neto, metros cúbicos (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (m3)                        No            ^3164(\d{6})$                                                                                           
3165	 Volumen neto, metros cúbicos (artículo comercial de medidas variables)                                                                           N4+N6        		     NET VOLUME (m3)                        No            ^3165(\d{6})$                                                                                           
3200	 Peso neto, libras (artículo comercial de medidas variables)                                                                                      N4+N6        		     NET WEIGHT (lb)                        No            ^3200(\d{6})$                                                                                           
3201	 Peso neto, libras (artículo comercial de medidas variables)                                                                                      N4+N6        		     NET WEIGHT (lb)                        No            ^3201(\d{6})$                                                                                           
3202	 Peso neto, libras (artículo comercial de medidas variables)                                                                                      N4+N6        		     NET WEIGHT (lb)                        No            ^3202(\d{6})$                                                                                           
